name,start,category,split
-_wznbUu3DY,0,helicopter,train
0d9u2CymIxc,0,helicopter,test
0TQQn_S8ZDM,0,helicopter,train
0yQFLuXBbTo,5,helicopter,train
1eNvdYhkin4,0,helicopter,train
1gVcuyz-6to,5,helicopter,val
1H0fdBjsZHc,0,helicopter,val
1jyrJSHYR-c,4,helicopter,train
1JZBJXb_jzM,0,helicopter,train
1LBBA76-TuQ,0,helicopter,train
1qbRpriB55k,0,helicopter,train
1S9eqzFk-IE,3,helicopter,val
1T9jjPQxRHE,0,helicopter,train
2erACT9n-B4,5,helicopter,train
2fIX-p9h_q0,2,helicopter,test
2G3-4D-Mxoo,5,helicopter,test
2ndwZG2uok0,5,helicopter,train
2nF2Lql0_Aw,0,helicopter,train
2t1liDKjf-g,0,helicopter,train
2vUe3LakHAo,5,helicopter,test
2vXlGSNtcn0,5,helicopter,train
3isOx39nAVs,3,helicopter,test
3Jlf2R6FBRA,0,helicopter,train
3KkUbQHnExo,0,helicopter,train
3Rgjs_ttdxs,5,helicopter,test
-3tQW7Zhl9U,5,helicopter,train
3xeuotzBk9s,0,helicopter,train
3ZEHgq1o8PI,0,helicopter,train
4_KrEq3ucwI,0,helicopter,train
4MJKHVXNtzY,0,helicopter,train
4NLW2X3DuMU,0,helicopter,train
4sfJsFE1Mmk,5,helicopter,test
5eI4R5Tg-Gs,5,helicopter,test
5GXbpFGSZ7I,0,helicopter,train
5o-s547x2e8,5,helicopter,train
5OGUvwQxWtw,0,helicopter,test
5XrPzlRLnBI,0,helicopter,train
6BYlJtI3UVU,0,helicopter,train
6G5H81qDvW4,0,helicopter,train
6M_JfKJxNVA,0,helicopter,train
6U1UM2ehgr0,0,helicopter,train
6VQeiOghkdE,0,helicopter,train
7-f-6bBTI-0,0,helicopter,train
7-x-9e9iNj8,0,helicopter,train
7AYPK7U3evs,2,helicopter,train
7qXlcJBcBPw,5,helicopter,train
7TWKYlE-RK0,2,helicopter,val
7vv6nSZIrlE,0,helicopter,val
7WWMhbf1Ssc,5,helicopter,train
7Y_jJnov7M4,2,helicopter,train
8jhwmCV3WCA,5,helicopter,train
8Z7xA1HqkRg,0,helicopter,train
9LO4gcg49aU,0,helicopter,train
9mpnV8GpoKc,0,helicopter,train
9nsLTLNvOSw,0,helicopter,train
9Rqaxf1rSUA,0,helicopter,train
9WZgxE98Yyg,0,helicopter,train
19TjZrYIMWk,2,helicopter,train
27ZSldfo0fg,0,helicopter,val
49-i7nQSfa8,0,helicopter,val
52TvGcpOGWs,5,helicopter,val
66Sl9ixB_5U,0,helicopter,train
70rljq60zaw,5,helicopter,test
75PEVQt1cQQ,0,helicopter,train
75UL4bTnTRs,3,helicopter,train
81V5zO9ntWg,3,helicopter,train
86SnBJ00KWQ,5,helicopter,train
89JAEnHCRbY,5,helicopter,train
99c5p4GvVcg,0,helicopter,val
A5o4-vMEWMM,3,helicopter,val
AcJXSEfGGcI,0,helicopter,train
AFaBECQSQjo,0,helicopter,train
AGoOj13x-Ds,3,helicopter,train
ApqTL3dFTdM,5,helicopter,train
AQh9Zek1q8k,0,helicopter,val
AuaOKTqBvj8,5,helicopter,val
Awxe89fXai8,2,helicopter,val
AXEPdMUvXLo,0,helicopter,train
BDduRe11_wo,5,helicopter,train
BDYpXqMsg5k,0,helicopter,train
Bfjr2BD94RY,0,helicopter,train
Bgh_mgO2VZU,5,helicopter,train
BGkb9XuspoY,0,helicopter,train
BIAkLC-gy2Y,3,helicopter,train
BNrmXcZQ-p4,5,helicopter,train
BOB65Nd0pXo,0,helicopter,train
C_jegfW0R8U,3,helicopter,val
CAVFaqrHCWA,0,helicopter,val
CCstODfDFKY,0,helicopter,val
CgGGijaRZ30,0,helicopter,train
ChcnXv03Itg,0,helicopter,train
CLm9FYDRxsA,0,helicopter,train
CMx9nGyUVz0,5,helicopter,train
CrGLI0l-WA8,5,helicopter,test
Cw-US2uaOKs,0,helicopter,train
DhFVH7Dvz8A,5,helicopter,test
DjGcre72pxw,5,helicopter,train
DP39sTllcPU,0,helicopter,train
DpRyPTj1A6M,5,helicopter,train
DQJwCqR08Tg,0,helicopter,train
DrvYM8g3HWk,0,helicopter,train
DxvGKv2L6-8,0,helicopter,train
DZPQHyoP8ts,0,helicopter,train
E509105txOk,2,helicopter,train
ECV8j0bhOlc,0,helicopter,train
EEBZz08i_vY,2,helicopter,train
EGiR_Yw8rdo,2,helicopter,val
-en-yFsmIO8,0,helicopter,test
Eo_FyQjui1k,0,helicopter,train
EvPBvMx_XTU,0,helicopter,test
EyBwCTiXWdA,5,helicopter,train
EzE7FPYhzUI,5,helicopter,train
EzOwXH1MIoI,5,helicopter,test
EzPcmdRIlSI,0,helicopter,val
F0IYjZN8ojA,0,helicopter,train
F186zkBSFjE,0,helicopter,train
FjK-wypKLxw,0,helicopter,train
FUhyWzVd71Y,0,helicopter,test
FXXBXAJa_RU,0,helicopter,train
Fygm03Gw19Y,0,helicopter,val
G6SoJ8JPG5M,2,helicopter,train
GO_1gBjIR1c,5,helicopter,train
Godz5tRIaRU,1,helicopter,train
GSVRpO44F04,0,helicopter,train
H__6P-rZ3Lo,5,helicopter,train
-H1_pKntTx4,0,helicopter,train
H3ZvrT-Ca3g,0,helicopter,val
HbA-Abyc6bU,0,helicopter,train
HdASUfcAR9A,2,helicopter,train
HKgby13GaZM,5,helicopter,val
I8a6GwMJpuM,5,helicopter,train
IB2YDmEtKPo,0,helicopter,train
IDIQUplab0k,0,helicopter,val
Ih0xy7tt2JY,3,helicopter,train
IJ9WJQ0dj3g,3,helicopter,train
IJI4VNsKSUg,3,helicopter,train
Ijm0-BtXDp0,3,helicopter,train
Ina9zrcoYPs,5,helicopter,train
IQ2bHS59KnI,0,helicopter,train
Isn4ltY2kPw,0,helicopter,train
ISrb23zuWcY,0,helicopter,test
IXghBspzZK0,0,helicopter,train
JaeFmM6saGs,1,helicopter,test
JC6VyIc02Kg,5,helicopter,train
Jet-YGASUw8,5,helicopter,train
JFe8k9aDPaI,0,helicopter,train
Jh2-zaDakrU,0,helicopter,train
JjOmlxU5k4w,0,helicopter,val
JPRL4DeeWvo,5,helicopter,val
JqGGlr_icXU,1,helicopter,train
JQQM0Rm_3E4,0,helicopter,train
JU24bo3XBXQ,5,helicopter,val
K-CfpmkZuqc,0,helicopter,val
K18oFrxsrvg,0,helicopter,test
KbViq9fsi8E,3,helicopter,train
KC-wRA_SwK0,0,helicopter,test
KdlvYugCXvo,2,helicopter,test
KdvoIFx5UOw,0,helicopter,test
-KECxvZZHYg,5,helicopter,val
Ko9Ai6WrsqM,0,helicopter,val
KSgWEfplTHc,5,helicopter,train
Kvs8sm3Mcjg,3,helicopter,train
Kw-PLfbmjvQ,5,helicopter,val
KxQwGUz5AqM,5,helicopter,train
KXumlH_SF5Y,5,helicopter,train
L4Hm7LpSFMk,5,helicopter,train
L6HB1czbGDY,0,helicopter,train
LcwakmQwG40,5,helicopter,test
LExpQz32kLY,0,helicopter,train
LF4bs0MUoQg,5,helicopter,train
Lo7sGHpICOE,0,helicopter,train
LrOzd4OE6UU,3,helicopter,train
LTLuDFO8QpA,0,helicopter,test
Ltlz5vkXSpY,5,helicopter,val
LtqeWJp7JLI,2,helicopter,val
LVYetu5gk3I,0,helicopter,train
LWClbNmo37k,0,helicopter,train
Lxbx92eI3Xg,3,helicopter,train
LyHnIuHiRS4,0,helicopter,train
LyWChUrpN0I,0,helicopter,train
M6rdDnqW8EE,4,helicopter,train
Ma5OotVwCh0,5,helicopter,train
MC-nspGMkvw,0,helicopter,train
Md6vo7OfkYA,0,helicopter,train
MFdWAVkZihs,0,helicopter,test
MoZc4IsdhiU,0,helicopter,train
MpRXvVuNPOs,5,helicopter,train
MQyPR8I7Aiw,2,helicopter,val
MS1MKQj2L5o,0,helicopter,train
MxMLXp3Rgu4,0,helicopter,train
Mxyfto_wlPE,5,helicopter,val
MZi4AAgM7NY,0,helicopter,val
N-9HLIfELcc,5,helicopter,train
NG-gL__w2aE,5,helicopter,test
NmNgL4oXH9M,5,helicopter,train
NMo2M0rO8Ag,1,helicopter,train
Nr3-9zAyUZk,4,helicopter,train
NwnzqSSJ1wQ,5,helicopter,val
NZkmKhCwFsI,0,helicopter,train
O-RWA-BaAG0,0,helicopter,val
O2QvJgVEYwo,0,helicopter,test
OAzPNdL-wQI,2,helicopter,train
-ocADGlyaHc,0,helicopter,test
OIJYgzI4v-g,0,helicopter,test
P_8sR3jDZ9E,5,helicopter,train
P3leS31LAvk,0,helicopter,test
PAbrvAkMQmU,5,helicopter,train
PGB_PyO2w0k,0,helicopter,train
Ph3or5bl_WM,0,helicopter,test
PhbljMbtL4U,0,helicopter,val
PMq8IW5Rdk0,5,helicopter,test
PsDimxTs5GE,5,helicopter,train
Q_QQWZDsgP0,1,helicopter,test
Q0iZ169agfg,2,helicopter,val
Q8IpEy839Fc,0,helicopter,train
QbfoKNSoIeU,5,helicopter,train
QBrJ-biRPLg,0,helicopter,train
QGN7uwtu5XI,0,helicopter,test
QKuTctSBJZs,2,helicopter,train
-qymcBqBEN4,0,helicopter,test
QZ-cG6VdBHM,0,helicopter,train
R_tuOJyoLMM,0,helicopter,train
RAyz-hi-X4o,5,helicopter,train
Rb5KUnlKZ74,0,helicopter,val
RmtNq8vaTQc,5,helicopter,train
RnMbQMjigdU,5,helicopter,train
Rp6YTTJiIHc,0,helicopter,test
RQo7HHPTihg,0,helicopter,val
RR1Z1-YVE_M,2,helicopter,train
RSVJviWsG6o,5,helicopter,train
RuRvTc1MqCA,5,helicopter,test
RvJkdOO8EUo,0,helicopter,val
RXOVFvbpXy4,0,helicopter,train
S3Fg5wYR-O8,0,helicopter,train
S4Z7y77VF4Y,0,helicopter,train
S94Pi5i0Io8,2,helicopter,val
SBr5PlzuK3I,2,helicopter,train
SCXlT8zIqPw,0,helicopter,train
SGBKN-m_13I,0,helicopter,val
SjrwTwBrG_U,5,helicopter,test
-SkaeD74V8Y,0,helicopter,val
SMeEI7c4O0E,1,helicopter,train
SNPuQKAKLd4,2,helicopter,train
SpGOGqWie2s,0,helicopter,test
STdAr1JNXIU,0,helicopter,test
SwC-n2ovgPQ,0,helicopter,test
T2vVudo7fiM,0,helicopter,train
TAdH0kUJj9k,5,helicopter,train
-tDIM9A_KOk,0,helicopter,val
TeZX4pAL4Qs,5,helicopter,train
TgAcM1sb42I,4,helicopter,train
TJyrb2tIeIE,0,helicopter,test
TkdLSt0HzEQ,5,helicopter,train
Tr0tZ1_Vn8A,0,helicopter,test
Tv0RFx28oEY,3,helicopter,train
UadNGqzMAF0,3,helicopter,train
-ue3k_aV6mY,0,helicopter,train
UpXTTnAJndg,1,helicopter,train
UtHszq6KUf4,0,helicopter,val
UUddwWTuKJ0,0,helicopter,train
UuysHY0depg,0,helicopter,train
Uv3K_pEUlX8,0,helicopter,train
UY_AbLTIRtw,0,helicopter,train
V5ux3CuvY38,0,helicopter,train
VhX_ZxojBcg,5,helicopter,test
VI6ytekigV0,2,helicopter,train
VN0FRmNf8R4,0,helicopter,train
VqNbTJu7DVI,0,helicopter,train
VqrXTEj05aM,5,helicopter,train
VREKcER5mas,5,helicopter,train
Vrh7qRAKzqs,5,helicopter,train
VSdjbjjM4k4,0,helicopter,train
-VTAtBy_jiI,0,helicopter,train
VtnXae2aO04,5,helicopter,train
VvlWf3Vvwss,5,helicopter,train
VW9Ba2cNLAI,0,helicopter,train
VWraCqnOvOA,2,helicopter,train
VzOkol5hD2Y,0,helicopter,train
W1713WwiTSA,5,helicopter,train
W9fNGlxl6PM,5,helicopter,train
W9g0Zl_b508,0,helicopter,train
wBnRLl7fTSE,0,helicopter,train
Wiq8fiFPDsM,5,helicopter,train
WIrnq6luD9c,0,helicopter,train
wliRjotVuBI,0,helicopter,train
WLq_Mk4p1Ns,0,helicopter,train
WoPbsn5wDfY,0,helicopter,train
-Wr1LEmgz9w,5,helicopter,train
Wr44Q8MQHL0,0,helicopter,train
wSdjlAkz1i8,0,helicopter,train
wuymegWdfmg,5,helicopter,train
WweIaYtzpj0,5,helicopter,train
WX-K2XkeoHc,5,helicopter,train
WXT0aIPTRXM,5,helicopter,train
-WyUAnVpexc,5,helicopter,train
X-Nqd-SpC9I,5,helicopter,test
Xb7lSqbJYog,0,helicopter,val
XEokIQCZ_Vg,0,helicopter,test
-XIpY07w9rQ,0,helicopter,train
XuTOHx7N1L8,0,helicopter,train
XVlT_CKmqJA,5,helicopter,train
XYvootbcWYw,5,helicopter,train
Y3Z963TSuWY,0,helicopter,train
YvA90hZwJ9w,0,helicopter,train
z-FboWRVAoI,2,helicopter,train
z0O5uQ8lPCI,3,helicopter,train
z0wsT163MZ4,5,helicopter,train
z4HX8-du2nQ,0,helicopter,train
z8W2aL7W3pY,1,helicopter,train
Zi3dawwEaho,5,helicopter,test
ZtPoTqVxVvU,3,helicopter,train
__GOGlHL23s,4,mynah_bird_singing,val
__ZkQzOL9Ac,1,mynah_bird_singing,val
_8acDzOQAg8,0,mynah_bird_singing,train
_8m_rszChvE,0,mynah_bird_singing,test
0tRkJ1CppTA,0,mynah_bird_singing,test
0WL1gKM13mY,1,mynah_bird_singing,test
1IIzopcjBAs,4,mynah_bird_singing,val
1lcEm0BPnlU,0,mynah_bird_singing,train
2M-fRggQBbE,1,mynah_bird_singing,train
2YPyNrIus28,1,mynah_bird_singing,val
2Yyy4TLH-J4,0,mynah_bird_singing,test
3dZuwc9r2jw,0,mynah_bird_singing,train
3WlS8virKhk,0,mynah_bird_singing,train
4MztFzXuZAA,5,mynah_bird_singing,train
4QHb3x3tO6k,0,mynah_bird_singing,train
4RDab4Ufwu8,0,mynah_bird_singing,train
5-Bl5mcx-Yg,0,mynah_bird_singing,val
5hdgmE2QF9w,5,mynah_bird_singing,train
5hV3mKoOgh8,5,mynah_bird_singing,train
6GoWuxmiXRc,0,mynah_bird_singing,train
6hlkMqrLWEg,0,mynah_bird_singing,train
6KiFICzs6UI,0,mynah_bird_singing,test
6VUXHzFzS3c,2,mynah_bird_singing,train
6wd7xuHEmaw,5,mynah_bird_singing,train
7oMz1r6n2VM,0,mynah_bird_singing,train
7VL0z0M3clY,0,mynah_bird_singing,val
8gWDOQWc2Cg,2,mynah_bird_singing,train
9DIrG8426vY,0,mynah_bird_singing,train
