name,start,category,split
0fy834E0TkU,4,ambulance_siren,train
mPX61tX_08g,2,typing_on_computer_keyboard,train
eAFfJxzZ10s,0,typing_on_computer_keyboard,test
3fdw7WJRVQc,0,cat_meowing,train
DpOPNpRDZMk,6,lions_roaring,train
Ia4FSdXJhc8,0,ambulance_siren,test
EEBZz08i_vY,2,helicopter,train
BhR74IRNrj4,0,playing_glockenspiel,val
3-QGJns54aU,0,playing_acoustic_guitar,train
wqMoQkNqb3U,2,dog_barking,val
64fMq6IOFNg,0,mynah_bird_singing,test
I2neGHowKpU,0,playing_glockenspiel,train
5pUuCc12DH8,0,playing_acoustic_guitar,val
q-4Fd6CMStI,3,playing_piano,train
S6HxsEBNcKw,3,lions_roaring,train
3Rgjs_ttdxs,5,helicopter,test
L79TvKr5CcU,5,driving_buses,train
s0FNqW3YaD8,0,dog_barking,train
TGNzh4wMT0k,0,typing_on_computer_keyboard,val
3NYp1ocTkFo,5,male_speech,train
iFPv4jv46ZM,1,dog_barking,train
QKuTctSBJZs,2,helicopter,train
UVOUqXffaT0,0,playing_ukulele,train
AadBm2gtUM4,0,playing_glockenspiel,test
Gu6YAcG9s4c,5,ambulance_siren,val
MAf3gGV0s7M,0,playing_tabla,train
A5IDL1YE6yk,0,horse_clip-clop,train
3JYjNHFJfO4,4,baby_laughter,test
7gr6ZOKZwuQ,5,driving_buses,val
0G0mSrzOZ2M,2,driving_buses,train
AgtciVcQW_k,0,playing_piano,train
RdvTKzdD9HM,0,playing_tabla,train
GzVYY0lCa_I,0,playing_violin,test
bpwsd9wZiKk,5,baby_laughter,val
2jCkNdoSQ8E,0,playing_piano,test
FULOyo1MQNs,0,ambulance_siren,train
0WwxN4pYDcg,1,lions_roaring,train
DrLN36uyZJ0,0,playing_tabla,train
P7vePeg7wZQ,2,mynah_bird_singing,train
31uxWvQ3zbw,0,playing_acoustic_guitar,train
dWgMWbr2eJs,0,chainsawing_trees,train
4mswzuaZjnQ,1,cat_meowing,train
DZRZg1gGn1g,5,driving_buses,val
Iejp01l-1uw,0,lions_roaring,train
3QlR6CCJqjE,0,playing_violin,val
3iVMMcgKSZ4,2,driving_buses,train
O6cZBByuc5o,0,race_car,train
M-bmsXbJBdw,0,race_car,val
uderPP64WDw,2,playing_acoustic_guitar,val
HlKWSMWViY4,0,playing_glockenspiel,train
cB-aRbbr2PM,0,dog_barking,train
OOfihZzHtcs,0,ambulance_siren,val
ECpDA6BmUb0,5,coyote_howling,val
-QlgGKvOyqs,3,lions_roaring,train
3xjl8m1jALI,0,playing_violin,val
H__6P-rZ3Lo,5,helicopter,train
7AB5JStsldI,1,female_singing,train
prbnMaF26qc,0,typing_on_computer_keyboard,val
iRwfzmm0if0,0,playing_glockenspiel,train
1s6xOx6Az-Q,0,male_speech,train
66-n0kgMDfM,0,chainsawing_trees,train
0qOzozmZHYU,0,female_singing,train
an_Uo19wjLk,0,mynah_bird_singing,train
j2oAnGKHYK8,0,typing_on_computer_keyboard,train
9VaWiRgVCA0,2,lions_roaring,val
2xH0kfRKsyc,2,race_car,train
JFeN2HZz5Bg,0,playing_piano,test
Hdu21U_FVs8,1,dog_barking,val
