name,start,category,split,time,label
-_wznbUu3DY,0,helicopter,train,0,Y
-_wznbUu3DY,0,helicopter,train,1,N
-_wznbUu3DY,0,helicopter,train,2,N
-_wznbUu3DY,0,helicopter,train,3,N
-_wznbUu3DY,0,helicopter,train,4,N
0d9u2CymIxc,0,helicopter,test,,Y
0TQQn_S8ZDM,0,helicopter,train,0,Y
0TQQn_S8ZDM,0,helicopter,train,1,N
0TQQn_S8ZDM,0,helicopter,train,2,N
0TQQn_S8ZDM,0,helicopter,train,3,N
0TQQn_S8ZDM,0,helicopter,train,4,N
0yQFLuXBbTo,5,helicopter,train,0,Y
0yQFLuXBbTo,5,helicopter,train,1,N
0yQFLuXBbTo,5,helicopter,train,2,N
0yQFLuXBbTo,5,helicopter,train,3,N
0yQFLuXBbTo,5,helicopter,train,4,N
1eNvdYhkin4,0,helicopter,train,0,Y
1eNvdYhkin4,0,helicopter,train,1,N
1eNvdYhkin4,0,helicopter,train,2,N
1eNvdYhkin4,0,helicopter,train,3,N
1eNvdYhkin4,0,helicopter,train,4,N
1gVcuyz-6to,5,helicopter,val,,Y
1H0fdBjsZHc,0,helicopter,val,,Y
1jyrJSHYR-c,4,helicopter,train,0,Y
1jyrJSHYR-c,4,helicopter,train,1,N
1jyrJSHYR-c,4,helicopter,train,2,N
1jyrJSHYR-c,4,helicopter,train,3,N
1jyrJSHYR-c,4,helicopter,train,4,N
1JZBJXb_jzM,0,helicopter,train,0,Y
1JZBJXb_jzM,0,helicopter,train,1,N
1JZBJXb_jzM,0,helicopter,train,2,N
1JZBJXb_jzM,0,helicopter,train,3,N
1JZBJXb_jzM,0,helicopter,train,4,N
1LBBA76-TuQ,0,helicopter,train,0,Y
1LBBA76-TuQ,0,helicopter,train,1,N
1LBBA76-TuQ,0,helicopter,train,2,N
1LBBA76-TuQ,0,helicopter,train,3,N
1LBBA76-TuQ,0,helicopter,train,4,N
1qbRpriB55k,0,helicopter,train,0,Y
1qbRpriB55k,0,helicopter,train,1,N
1qbRpriB55k,0,helicopter,train,2,N
1qbRpriB55k,0,helicopter,train,3,N
1qbRpriB55k,0,helicopter,train,4,N
